isodate,offer,salary,contract_type,start_hour,end_hour,hours_worked,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_worked,state,municipality,scholarship,experience,languages
2020-08-06,generalista recursos humanos,12000,Contrato por tiempo indeterminado,900,1800,9.0,1,1,0,1,1,1,0,5,Puebla,Atlixco,Licenciatura,2 - 3 años,No es requisito
2020-08-06,guardia seguridad,5400,Contrato por tiempo indeterminado,900,1800,9.0,1,1,1,1,1,1,1,7,Quintana Roo,Benito Juárez,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,medico internista,20000,Contrato por tiempo indeterminado,1400,2200,8.0,1,1,1,1,1,1,1,7,San Luis Potosí,San Luis Potosí,Licenciatura,6m - 1 año,No es requisito
2020-08-06,medico general,12000,Contrato por tiempo indeterminado,1400,2200,8.0,1,1,1,1,1,1,1,7,San Luis Potosí,San Luis Potosí,Licenciatura,6m - 1 año,No es requisito
2020-08-06,enfermera general,7000,Contrato por tiempo indeterminado,700,1500,8.0,1,1,1,1,1,1,1,7,San Luis Potosí,San Luis Potosí,Carrera técnica,6m - 1 año,No es requisito
2020-08-06,quimicos analistas control calidad para farmaceuticas,14000,Contrato por tiempo determinado,800,1600,8.0,1,1,1,1,1,1,0,6,Ciudad de México,Benito Juárez,Licenciatura,Más de 5 años,Inglés-Intermedio
2020-08-06,atencion clientes,5352,Contrato por tiempo determinado,900,1700,8.0,1,1,1,1,1,0,0,5,Guerrero,Acapulco de Juárez,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-06,mozo,8000,Contrato por tiempo indeterminado,700,1900,12.0,1,1,1,1,1,1,1,7,Oaxaca,Oaxaca de Juárez,Primaria,6m - 1 año,No es requisito
2020-08-06,medico urgenciologo,20000,Contrato por tiempo indeterminado,1400,2200,8.0,1,1,1,1,1,1,1,7,San Luis Potosí,San Luis Potosí,Licenciatura,6m - 1 año,No es requisito
2020-08-06,administrador cuenta,8000,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,1,0,6,San Luis Potosí,San Luis Potosí,T. superior universitario,1 - 2 años,No es requisito
2020-08-06,agente patrimonial,5000,No especificado,800,1800,10.0,1,1,1,1,1,0,0,5,Veracruz,Coatzacoalcos,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-06,vendedor mayorista,9000,Contrato por tiempo indeterminado,800,1900,11.0,1,1,1,1,1,1,0,6,Baja California Sur,Los Cabos,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-06,chofer,10000,Contrato por tiempo indeterminado,700,1500,8.0,1,1,1,1,1,1,0,6,Baja California Sur,Los Cabos,Primaria,6m - 1 año,No es requisito
2020-08-06,auxiliar contable,5000,Contrato por tiempo indeterminado,800,1900,11.0,1,1,1,1,1,1,0,6,Chiapas,Tapachula,Licenciatura,1 - 2 años,No es requisito
2020-08-06,medico pediatra,10000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Cuauhtémoc,Licenciatura,6m - 1 año,No es requisito
2020-08-06,mecanico aparatista,8000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Azcapotzalco,Secundaria/sec. técnica,1 - 2 años,No es requisito
2020-08-06,auxiliar administrativo,8000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Iztapalapa,Prepa o vocacional,1 - 2 años,No es requisito
2020-08-06,auxiliar administrativa,8000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Iztapalapa,Prepa o vocacional,1 - 2 años,No es requisito
2020-08-06,almacenista,6000,Contrato por tiempo indeterminado,900,1900,10.0,1,1,1,1,1,0,0,5,Nuevo León,Monterrey,Secundaria/sec. técnica,1 - 2 años,No es requisito
2020-08-06,auxiliar inventarios,8000,Contrato por tiempo indeterminado,900,1900,10.0,1,1,1,1,1,1,0,6,Nuevo León,Monterrey,Prepa o vocacional,3 - 4 años,No es requisito
2020-08-06,jefe nominas,18000,Contrato por tiempo indeterminado,900,1800,9.0,1,1,1,1,1,1,0,6,Baja California Sur,Los Cabos,Licenciatura,3 - 4 años,No es requisito
2020-08-06,guardia seguridad,8000,Contrato por tiempo indeterminado,700,700,24.0,1,1,1,1,1,1,1,7,Nuevo León,Monterrey,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,soldador,9904,Contrato por tiempo indeterminado,700,1800,11.0,1,1,1,1,1,0,0,5,Nuevo León,Apodaca,Secundaria/sec. técnica,No especificada,No es requisito
